"","X.1","X","vehicle_id","data_title","data_display_title","data_url","data_installment","data_image_src","data_compare_image","data_make","data_model","data_year","data_mileage","data_transmission","data_ad_type","data_variant","data_seller_id","data_profile_id","data_listing_trusted","data_dealer_isverified","data_view_store","data_country_code","data_vehicle_type","listing_price","listing_rating","doors","seat_capacity","engine_cc","fuel_type","fuel_consumption__l_100km"
"1",1,1,9124362,"2022 Toyota Vios 1.5 G Sedan","2022 Toyota Vios 1.5 G Sedan","https://www.carlist.my/new-cars/2022-toyota-vios-1-5-g-sedan/9124362",1172,"https://img1.icarcdn.com/2634219/main-m_new-car-carlist-toyota-vios-g-sedan-malaysia_000002634219_3b7d8858_3950_422e_9421_c224115751b2.png.webp?smia=xTM","https://img1.icarcdn.com/2634219/thumb-l_new-car-carlist-toyota-vios-g-sedan-malaysia_000002634219_3b7d8858_3950_422e_9421_c224115751b2.png.webp?smia=xTM","Toyota","Vios",2022,0,"Automatic","New","G","eb837c32-b531-4e4c-bdd9-629db15b5c1d","eab73e6e-81fb-4002-bc8e-2ddbe8e0a767","false","ʉʏʈʘ","false","my","car",90400,4.2,"4","5","1496","Petrol - Unleaded (ULP)",NA
"2",2,2,10169675,"2022 Toyota Hiace 2.5 Panel Van - Van Jenazah untuk diwakafkan","2022 Toyota Hiace 2.5 Panel Van","https://www.carlist.my/new-cars/2022-toyota-hiace-2-5-panel-van-van-jenazah-untuk-diwakafkan/10169675",1271,"https://img1.icarcdn.com/57696101/main-m_new-car-carlist-toyota-hiace-panel-van-malaysia_000057696101_f0eec7fb_917c_4d60_b716_9ce4828f3722.JPG.webp?smia=xTM","https://img1.icarcdn.com/57696101/thumb-l_new-car-carlist-toyota-hiace-panel-van-malaysia_000057696101_f0eec7fb_917c_4d60_b716_9ce4828f3722.JPG.webp?smia=xTM","Toyota","Hiace",2022,0,"Manual","New","Panel","d4c5d9a7-49eb-e311-94af-0261ba99cd9c","5de03a45-67eb-e311-94af-0261ba99cd9c","false","ʉʏʈʘ","false","my","car",98000,5,"3","2","2494","Diesel",NA
"3",3,3,10562740,"2022 ALL NEW Honda BR-V CLEAR STOCK","2022 Honda BR-V 1.5 V i-VTEC SUV","https://www.carlist.my/new-cars/2022-all-new-honda-br-v-clear-stock/10562740",1063,"https://img1.icarcdn.com/04726501/main-m_new-car-carlist-honda-br-v-v-i-vtec-suv-malaysia_000004726501_13249bd4_e109_4184_8c70_5a9bb40e738b.jpg.webp?smia=xTM","https://img1.icarcdn.com/04726501/thumb-l_new-car-carlist-honda-br-v-v-i-vtec-suv-malaysia_000004726501_13249bd4_e109_4184_8c70_5a9bb40e738b.jpg.webp?smia=xTM","Honda","BR-V",2022,0,"Automatic","New","V i-VTEC","940fa579-de05-e411-94ae-06e4185eac05","980fa579-de05-e411-94ae-06e4185eac05","false","ʉʏʈʘ","false","my","car",82000,4.3,"5","7","1497","Petrol - Unleaded (ULP)","6.4"
"4",4,4,10563158,"2022 ALL NEW Honda City HB CLEAR STOCK","2022 Honda City 1.5 V Sensing Sedan","https://www.carlist.my/new-cars/2022-all-new-honda-city-hb-clear-stock/10563158",993,"https://img1.icarcdn.com/85136501/main-m_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000085136501_368e4ed7_e92a_4882_abd7_e77f8e3a6f3f.jpg.webp?smia=xTM","https://img1.icarcdn.com/85136501/thumb-l_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000085136501_368e4ed7_e92a_4882_abd7_e77f8e3a6f3f.jpg.webp?smia=xTM","Honda","City",2022,0,"Automatic","New","V Sensing","940fa579-de05-e411-94ae-06e4185eac05","980fa579-de05-e411-94ae-06e4185eac05","false","ʉʏʈʘ","false","my","car",76600,4.4,"4","5","1498","Petrol - Unleaded (ULP)","5.4"
"5",5,5,10562674,"2022 New Honda City 1.5 EASY LOAN","2022 Honda City 1.5 V Sensing Sedan","https://www.carlist.my/new-cars/2022-new-honda-city-1-5-easy-loan/10562674",1006,"https://img1.icarcdn.com/47626501/main-m_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000047626501_94113b48_4970_415d_a1d9_0f103fe0c931.jpg.webp?smia=xTM","https://img1.icarcdn.com/47626501/thumb-l_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000047626501_94113b48_4970_415d_a1d9_0f103fe0c931.jpg.webp?smia=xTM","Honda","City",2022,0,"Automatic","New","V Sensing","940fa579-de05-e411-94ae-06e4185eac05","980fa579-de05-e411-94ae-06e4185eac05","false","ʉʏʈʘ","false","my","car",77600,4.4,"4","5","1498","Petrol - Unleaded (ULP)","5.4"
"6",6,6,8392714,"2022 Stock Proton Saga 1.3 New Facelift MC2 Premium Sedan","2021 Proton Saga 1.3 Premium Sedan","https://www.carlist.my/new-cars/2022-stock-proton-saga-1-3-new-facelift-mc2-premium-sedan/8392714",451,"https://img1.icarcdn.com/4172938/main-m_new-car-carlist-proton-saga-premium-sedan-malaysia_000004172938_9bab4fc5_0501_497d_9360_abe118751793.jpg.webp?smia=xTM","https://img1.icarcdn.com/4172938/thumb-l_new-car-carlist-proton-saga-premium-sedan-malaysia_000004172938_9bab4fc5_0501_497d_9360_abe118751793.jpg.webp?smia=xTM","Proton","Saga",2021,0,"Automatic","New","Premium","7aac2e8a-2bb6-4e37-a28b-f09d09119ca2","0aceeada-6ad5-4a7f-97c0-c67951678fa6","true","ʉʏʈʘ","true","my","car",34800,3.9,"4","5","1332","Petrol - Unleaded (ULP)","5.4"
"7",7,7,8392637,"2022 Stock Proton X50 1.5 TGDI Flagship SUV","2021 Proton X50 1.5 TGDI Flagship SUV","https://www.carlist.my/new-cars/2022-stock-proton-x50-1-5-tgdi-flagship-suv/8392637",1469,"https://img1.icarcdn.com/7362938/main-m_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000007362938_af07dd5b_9f26_4d37_8662_d8854f7dad66.jpg.webp?smia=xTM","https://img1.icarcdn.com/7362938/thumb-l_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000007362938_af07dd5b_9f26_4d37_8662_d8854f7dad66.jpg.webp?smia=xTM","Proton","X50",2021,0,"Automatic","New","TGDI Flagship","7aac2e8a-2bb6-4e37-a28b-f09d09119ca2","0aceeada-6ad5-4a7f-97c0-c67951678fa6","true","ʉʏʈʘ","true","my","car",113300,NA,"5","5","1477","Petrol - Unleaded (ULP)",NA
"8",8,8,8392563,"2022 Ready Stock New Facelift Proton X70 1.8 TGDI Premium SUV","2022 Proton X70 1.8 TGDI Premium SUV","https://www.carlist.my/new-cars/2022-ready-stock-new-facelift-proton-x70-1-8-tgdi-premium-suv/8392563",1281,"https://img1.icarcdn.com/3652938/main-m_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000003652938_20550669_0768_4d1f_a78d_ea1a901fab54.jpg.webp?smia=xTM","https://img1.icarcdn.com/3652938/thumb-l_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000003652938_20550669_0768_4d1f_a78d_ea1a901fab54.jpg.webp?smia=xTM","Proton","X70",2022,1,"Automatic","New","TGDI Premium","7aac2e8a-2bb6-4e37-a28b-f09d09119ca2","0aceeada-6ad5-4a7f-97c0-c67951678fa6","true","ʉʏʈʘ","true","my","car",98800,4.5,"5","5","1799","Petrol - Unleaded (ULP)",NA
"9",9,9,8393027,"2022 Ready Stock Proton Exora RC2 New Facelift 1.6 Turbo Premium MPV","2021 Proton Exora 1.6 Turbo Premium MPV","https://www.carlist.my/new-cars/2022-ready-stock-proton-exora-rc2-new-facelift-1-6-turbo-premium-mpv/8393027",814,"https://img1.icarcdn.com/7203938/main-m_new-car-carlist-proton-exora-turbo-premium-mpv-malaysia_000007203938_c7bb7ffb_f647_411e_91df_d4a1cfc1f2ea.jpg.webp?smia=xTM","https://img1.icarcdn.com/7203938/thumb-l_new-car-carlist-proton-exora-turbo-premium-mpv-malaysia_000007203938_c7bb7ffb_f647_411e_91df_d4a1cfc1f2ea.jpg.webp?smia=xTM","Proton","Exora",2021,0,"Automatic","New","Turbo Premium","7aac2e8a-2bb6-4e37-a28b-f09d09119ca2","0aceeada-6ad5-4a7f-97c0-c67951678fa6","true","ʉʏʈʘ","true","my","car",62800,4.2,"5","7","1561","Petrol - Unleaded (ULP)",NA
"10",10,10,10502590,"2022 Nissan X-Trail 2.0 SUV","2022 Nissan X-Trail 2.0 SUV","https://www.carlist.my/new-cars/2022-nissan-x-trail-2-0-suv/10502590",1736,"https://img1.icarcdn.com/09520501/main-m_new-car-carlist-nissan-x-trail-suv-malaysia_000009520501_de2d9fc1_88fa_4535_9918_80a5fde46c32.jpeg.webp?smia=xTM","https://img1.icarcdn.com/09520501/thumb-l_new-car-carlist-nissan-x-trail-suv-malaysia_000009520501_de2d9fc1_88fa_4535_9918_80a5fde46c32.jpeg.webp?smia=xTM","Nissan","X-Trail",2022,0,"Automatic","New","","9d18bfa7-b420-e711-94ba-0261ba99cd9c","a118bfa7-b420-e711-94ba-0261ba99cd9c","false","ʉʏʈʘ","false","my","car",133888,4.1,"5","7","1997","Petrol - Unleaded (ULP)","13.4"
"11",11,11,9493096,"2022 Proton X70 1.5 TGDI Standard SUV **FAST STOCK** - Call to BOOK NOW","2022 Proton X70 1.5 TGDI Standard SUV","https://www.carlist.my/new-cars/2022-proton-x70-1-5-tgdi-standard-suv-fast-stock-call-to-book-now/9493096",1281,"https://img1.icarcdn.com/6903949/main-m_new-car-carlist-proton-x70-tgdi-standard-suv-malaysia_000006903949_6635a280_92f7_47e7_94be_021936fb3551.jpeg.webp?smia=xTM","https://img1.icarcdn.com/6903949/thumb-l_new-car-carlist-proton-x70-tgdi-standard-suv-malaysia_000006903949_6635a280_92f7_47e7_94be_021936fb3551.jpeg.webp?smia=xTM","Proton","X70",2022,0,"Automatic","New","TGDI Standard","7dc1544a-c29f-e511-94b7-0261ba99cd9c","80c1544a-c29f-e511-94b7-0261ba99cd9c","false","ʉʏʈʘ","false","my","car",98800,4.5,"5","5","1477","Petrol - Unleaded (ULP)",NA
"12",12,12,8410412,"2022 Perodua Myvi 1.5 AV Hatchback","2022 Perodua Myvi 1.5 AV Hatchback","https://www.carlist.my/new-cars/2022-perodua-myvi-1-5-av-hatchback/8410412",777,"https://img1.icarcdn.com/2140148/main-m_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000002140148_f537d5c2_c1ee_40c9_875e_b94bb7cc5306.jpg.webp?smia=xTM","https://img1.icarcdn.com/2140148/thumb-l_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000002140148_f537d5c2_c1ee_40c9_875e_b94bb7cc5306.jpg.webp?smia=xTM","Perodua","Myvi",2022,0,"Automatic","New","AV","3d8f5eaa-8eea-41e1-b72b-9f6bb8b6b1f1","a4457738-0bec-4640-9b34-d6182b9f8f73","false","ʉʏʈʘ","false","my","car",59900,4.2,"5","5","1496","Petrol - Unleaded (ULP)","4.7"
"13",13,13,9792546,"2022 Perodua Alza 1.5 Advance MPV","2022 Perodua Alza 1.5 Advance MPV","https://www.carlist.my/new-cars/2022-perodua-alza-1-5-advance-mpv/9792546",979,"https://img1.icarcdn.com/6452979/main-m_new-car-carlist-perodua-alza-advance-mpv-malaysia_000006452979_f789c016_fbac_40a2_bb60_4d9dad58f37a.jpg.webp?smia=xTM","https://img1.icarcdn.com/6452979/thumb-l_new-car-carlist-perodua-alza-advance-mpv-malaysia_000006452979_f789c016_fbac_40a2_bb60_4d9dad58f37a.jpg.webp?smia=xTM","Perodua","Alza",2022,0,"Automatic","New","Advance","3d8f5eaa-8eea-41e1-b72b-9f6bb8b6b1f1","a4457738-0bec-4640-9b34-d6182b9f8f73","false","ʉʏʈʘ","false","my","car",75500,4,"5","7","1495","Petrol - Unleaded (ULP)",NA
"14",14,14,10954603,"2022 Honda City 1.5 V Sensing **December Ready Stock**","2022 Honda City 1.5 V Sensing Sedan","https://www.carlist.my/new-cars/2022-honda-city-1-5-v-sensing-december-ready-stock/10954603",1149,"https://img1.icarcdn.com/30645901/main-m_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000030645901_5f6d1d38_a4de_47c7_868e_9ee3b1b088ae.jpeg.webp?smia=xTM","https://img1.icarcdn.com/30645901/thumb-l_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000030645901_5f6d1d38_a4de_47c7_868e_9ee3b1b088ae.jpeg.webp?smia=xTM","Honda","City",2022,0,"Automatic","New","V Sensing","44e048c5-e98c-4221-b5af-c2d2afb222cc","ba5d9796-e4fb-497f-a2f4-a69456b7067b","false","ʉʏʈʘ","false","my","car",88599,4.4,"4","5","1498","Petrol - Unleaded (ULP)","5.4"
"15",15,15,8906372,"2022 Mitsubishi Triton 2.4 VGT Pickup Truck AUTO 4X4 BIG-BIG DISCOUNT","2022 Mitsubishi Triton 2.4 VGT Pickup Truck","https://www.carlist.my/new-cars/2022-mitsubishi-triton-2-4-vgt-pickup-truck-auto-4x4-big-big-discount/8906372",1387,"https://img1.icarcdn.com/2736098/main-m_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000002736098_da0266dd_87e1_403f_9d31_0172b8c1dad0.jpeg.webp?smia=xTM","https://img1.icarcdn.com/2736098/thumb-l_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000002736098_da0266dd_87e1_403f_9d31_0172b8c1dad0.jpeg.webp?smia=xTM","Mitsubishi","Triton",2022,0,"Automatic","New","VGT","f1d9d1b9-4deb-e311-94af-0261ba99cd9c","f8efcd23-69eb-e311-94af-0261ba99cd9c","false","ʉʏʈʘ","false","my","car",106990,4.8,"4","5","2442","Diesel",NA
"16",16,16,7071236,"MERDEKA PROMOTION NISSAN ALL NEW ALMERA TURBO 1.0T","2020 Nissan Almera 1.5 VL Sedan","https://www.carlist.my/new-cars/merdeka-promotion-nissan-all-new-almera-turbo-1-0t/7071236",1088,"https://img1.icarcdn.com/6321707/main-m_new-car-carlist-nissan-almera-vl-sedan-malaysia_6321707_0WlxedPAOUubBwKN0KeRTo.jpeg?smia=xTM","https://img1.icarcdn.com/6321707/thumb-l_new-car-carlist-nissan-almera-vl-sedan-malaysia_6321707_0WlxedPAOUubBwKN0KeRTo.jpeg?smia=xTM","Nissan","Almera",2020,0,"Automatic","New","VL","49dde332-cc15-e611-94b7-0261ba99cd9c","50dde332-cc15-e611-94b7-0261ba99cd9c","true","ʉʏʈʘ","true","my","car",83888,4,"4","5","1498","Petrol - Unleaded (ULP)","6.7"
